Dia de Dt;Point Order;Polygon Id;Score;dia_mes_ano;Dt;State_City;Lat;Lng
14/05/2020;2;8881999643fffff;54,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,79688284;-35,19571775
14/05/2020;3;8881999643fffff;54,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,791746889;-35,19665297
14/05/2020;4;8881999643fffff;54,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,790001496;-35,20156292
14/05/2020;5;8881999643fffff;54,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,793392116;-35,20553775
14/05/2020;6;8881999643fffff;54,80%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,798528167;-35,20460255
14/05/2020;1;8881999609fffff;42,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,791746889;-35,19665297
14/05/2020;2;8881999609fffff;42,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,788356279;-35,19267834
14/05/2020;3;8881999609fffff;42,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,783220315;-35,19361356
14/05/2020;4;8881999609fffff;42,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,781474862;-35,1985234
14/05/2020;5;8881999609fffff;42,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,784865433;-35,20249812
14/05/2020;6;8881999609fffff;42,40%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,790001496;-35,20156292
14/05/2020;1;8881999603fffff;41,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,776338788;-35,19945859
14/05/2020;2;8881999603fffff;41,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,772948265;-35,19548398
14/05/2020;3;8881999603fffff;41,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,767812179;-35,19641918
14/05/2020;4;8881999603fffff;41,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,766066515;-35,20132896
14/05/2020;5;8881999603fffff;41,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,769456998;-35,20530365
14/05/2020;6;8881999603fffff;41,30%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,774593184;-35,20436848
14/05/2020;1;8881999601fffff;44,10%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,783220315;-35,19361356
14/05/2020;2;8881999601fffff;44,10%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,779829754;-35,18963904
14/05/2020;3;8881999601fffff;44,10%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,774693779;-35,19057427
14/05/2020;4;8881999601fffff;44,10%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,772948265;-35,19548398
14/05/2020;5;8881999601fffff;44,10%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,776338788;-35,19945859
14/05/2020;6;8881999601fffff;44,10%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,781474862;-35,1985234
14/05/2020;1;888199969dfffff;45,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,729804406;-35,24926029
14/05/2020;2;888199969dfffff;45,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,726414148;-35,24528489
14/05/2020;3;888199969dfffff;45,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,72127719;-35,24621986
14/05/2020;4;888199969dfffff;45,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,719530391;-35,25113021
14/05/2020;5;888199969dfffff;45,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,722920611;-35,25510569
14/05/2020;6;888199969dfffff;45,90%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,728057668;-35,25417075
14/05/2020;1;888199969bfffff;48,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,724563953;-35,26399189
14/05/2020;2;888199969bfffff;48,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,721173724;-35,26001621
14/05/2020;3;888199969bfffff;48,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,716036557;-35,26095112
14/05/2020;4;888199969bfffff;48,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,714289521;-35,26586169
14/05/2020;5;888199969bfffff;48,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,717679712;-35,26983746
14/05/2020;6;888199969bfffff;48,00%;14/05/2020;14/05/2020;Rio Grande do Norte - Natal;-5,722816977;-35,26890258
