;COD_BAIRRO;BAIRRO;MODO;PICO;P001;P002;P003;P004;P005;R001;S001;S002;S003;TMISA;TMISB;TMISM;TMIST;CMASA120;CMASA15;CMASA30;CMASA45;CMASA60;CMASA90;CMASB120;CMASB15;CMASB30;CMASB45;CMASB60;CMASB90;CMASM120;CMASM15;CMASM30;CMASM45;CMASM60;CMASM90;CMAST120;CMAST15;CMAST30;CMAST45;CMAST60;CMAST90
10;240810205033;Lagoa Azul;bicicleta;1.0;46402.0;16900.0;28766.0;32.0;696.0;274.6338709677421;5.0;5.0;4.0;1338.2;488.1830999999999;561.2832;488.1830999999999;0.0;0.3998;4.999700000000003;8.064900000000009;8.397900000000009;0.0;0.0;3.468400000000001;12.361400000000007;18.49890000000001;19.975899999999996;0.0;0.0;1.590400000000001;6.976899999999993;10.666200000000005;11.209500000000006;0.0;0.0;2.2590999999999997;8.8688;13.178000000000015;14.156100000000023;0.0
11;240810205033;Lagoa Azul;caminhada;1.0;46402.0;16900.0;28766.0;32.0;696.0;274.6338709677421;5.0;5.0;4.0;1629.6997999999999;1171.2667000000001;1382.1336000000001;1171.2667000000001;0.0;0.0;0.0;0.3332;1.3553;0.0;0.0;0.3929999999999999;1.7235;3.7553000000000005;6.1061999999999985;0.0;0.0;0.2023;0.8461999999999997;1.7067000000000008;2.9077;0.0;0.0;0.2524;1.1081999999999994;2.4437;4.129300000000001;0.0
12;240810205034;Pajuçara;bicicleta;1.0;52507.0;20174.0;31717.0;79.0;528.0;376.5678571428571;3.0;2.0;1.0;1223.8666999999998;407.1333999999999;553.2664;388.04999999999995;0.0;0.0666;3.3338000000000014;7.264900000000007;7.353700000000008;0.0;0.0;2.9789999999999988;11.7232;17.03100000000001;17.550500000000007;0.0;0.0;1.1488000000000003;6.3020999999999985;9.775500000000005;9.822000000000005;0.0;0.0;1.936900000000001;8.232299999999997;12.089800000000011;12.436900000000016;0.0
13;240810205034;Pajuçara;caminhada;1.0;52507.0;20174.0;31717.0;79.0;528.0;376.5678571428571;3.0;2.0;1.0;970.7333000000002;976.0829999999999;1551.0835999999993;976.8162999999997;0.0;0.0222;0.0222;0.0888;0.6218;0.0;0.0;0.2228;1.3405999999999998;3.127799999999999;5.5634999999999994;0.0;0.0;0.062200000000000005;0.41189999999999993;1.2108000000000005;2.5512000000000006;0.0;0.0;0.1498;0.8686;2.0395000000000003;3.759299999999999;0.0
14;240810205010;Lagoa Seca;bicicleta;1.0;41965.0;24811.0;16456.0;49.0;295.0;1816.0355555555557;12.0;9.0;11.0;288.7834;213.21650000000002;188.18310000000005;181.01630000000003;0.0;8.466900000000003;33.911799999999985;37.4216;38.842400000000005;0.0;0.0;6.436099999999997;20.350799999999985;25.86170000000001;29.30850000000002;0.0;0.0;8.806499999999998;28.43430000000001;33.0777;35.97560000000002;0.0;0.0;8.130000000000003;26.69109999999999;31.3286;33.992900000000006;0.0
15;240810205010;Lagoa Seca;caminhada;1.0;41965.0;24811.0;16456.0;49.0;295.0;1816.0355555555557;12.0;9.0;11.0;666.5500999999999;442.76680000000005;378.8668000000001;354.78350000000006;0.0;0.5994;3.4660000000000006;10.333100000000007;21.199700000000004;0.0;0.0;0.7870000000000005;3.2235999999999994;7.127400000000001;12.244399999999999;0.0;0.0;0.8459000000000001;4.023599999999998;9.992200000000002;18.1398;0.0;0.0;0.8071;3.7594999999999996;9.307799999999997;16.829399999999996;0.0
16;240810205036;Barro Vermelho;bicicleta;1.0;12603.0;8294.0;4136.0;12.0;83.0;2166.4923076923083;15.0;6.0;14.0;51.083200000000005;54.516600000000004;36.74980000000001;36.74980000000001;0.0;6.088800000000001;9.155600000000002;10.4;10.977200000000002;0.0;0.0;3.0105999999999997;5.6913;7.021400000000001;8.1279;0.0;0.0;4.7363;7.875900000000001;9.093;10.0541;0.0;0.0;4.369800000000001;7.390200000000001;8.6162;9.506900000000002;0.0
17;240810205036;Barro Vermelho;caminhada;1.0;12603.0;8294.0;4136.0;12.0;83.0;2166.4923076923083;15.0;6.0;14.0;98.2167;116.68330000000002;62.399899999999995;62.399899999999995;0.0;1.111;3.5556000000000005;6.466600000000001;8.0664;0.0;0.0;0.4044;1.7553;3.2553000000000005;4.4575000000000005;0.0;0.0;0.7522000000000001;2.8373;5.0386999999999995;6.5581000000000005;0.0;0.0;0.6984;2.6027;4.657699999999999;6.082399999999999;0.0
18;240810205019;Candelária;bicicleta;1.0;14506.0;9600.0;4783.0;8.0;105.0;2012.3214285714291;2.0;1.0;2.0;314.80010000000004;275.59990000000005;214.31660000000002;214.31660000000002;0.0;1.2886;7.200300000000004;21.888300000000005;26.176400000000005;0.0;0.0;0.9896000000000001;6.148900000000003;16.8617;20.4476;0.0;0.0;1.016;7.6437;20.7286;24.750400000000017;0.0;0.0;1.0747000000000002;7.041099999999997;19.5135;23.355399999999985;0.0
19;240810205019;Candelária;caminhada;1.0;14506.0;9600.0;4783.0;8.0;105.0;2012.3214285714291;2.0;1.0;2.0;866.6666000000001;734.2500000000001;533.6501000000001;533.6501000000001;0.0;0.1332;0.5329;1.6885;3.444200000000001;0.0;0.0;0.0955;0.3935999999999999;1.2343000000000002;2.3825999999999996;0.0;0.0;0.1013;0.4504999999999998;1.2328999999999999;2.7365999999999997;0.0;0.0;0.11610000000000001;0.49899999999999967;1.2801000000000002;2.6297;0.0
20;240810205002;Praia do Meio;bicicleta;1.0;6286.0;3230.0;2984.0;1.0;65.0;1423.8428571428574;2.0;1.0;2.0;65.95;42.999900000000004;41.099900000000005;41.099900000000005;0.0;1.7556999999999998;3.7779000000000003;4.9111;5.5333;0.0;0.0;0.7980000000000002;2.0425;3.0;3.7128999999999994;0.0;0.0;1.2792;3.0079000000000002;4.1939;4.829400000000001;0.0;0.0;1.178;2.781;3.9314;4.5821;0.0
21;240810205002;Praia do Meio;caminhada;1.0;6286.0;3230.0;2984.0;1.0;65.0;1423.8428571428574;2.0;1.0;2.0;136.1666;94.03330000000001;84.46670000000002;84.46670000000002;0.0;0.1555;1.089;2.1778999999999997;3.0001999999999995;0.0;0.0;0.14889999999999998;0.5;0.9893000000000001;1.3192;0.0;0.0;0.1628;0.8140000000000001;1.5892;2.2247;0.0;0.0;0.1711;0.7602;1.4657;2.0548;0.0
22;240810205003;Rocas;bicicleta;1.0;15725.0;6644.0;8987.0;3.0;86.0;785.4375000000001;2.0;2.0;1.0;147.1502;99.91660000000002;98.33320000000002;95.84990000000002;0.0;3.289000000000001;8.8669;11.133600000000001;12.533599999999998;0.0;0.0;1.4574;4.5954999999999995;6.9787;8.500100000000002;0.0;0.0;2.2792999999999997;6.9613;9.628000000000002;10.969100000000001;0.0;0.0;2.1301000000000005;6.445500000000002;9.013400000000003;10.4314;0.0
23;240810205003;Rocas;caminhada;1.0;15725.0;6644.0;8987.0;3.0;86.0;785.4375000000001;2.0;2.0;1.0;342.80010000000004;214.8666;209.7;202.39999999999998;0.0;0.2888;1.6666999999999998;4.4225;6.666799999999999;0.0;0.0;0.15959999999999996;0.7978000000000002;1.8722999999999994;3.0319;0.0;0.0;0.1862;1.1475000000000004;3.1084999999999994;5.0311;0.0;0.0;0.1916;1.1026000000000005;2.8697999999999992;4.6165;0.0
24;240810205001;Santos Reis;bicicleta;1.0;2287.0;858.0;1414.0;2.0;11.0;524.6166666666667;2.0;2.0;1.0;469.98330000000004;122.4165;122.4165;122.4165;0.0;0.0222;1.1334;1.9553999999999998;3.000100000000001;0.0;0.0;0.21289999999999992;0.8617999999999999;2.1913;3.8190999999999997;0.0;0.0;0.09350000000000001;0.9999999999999996;2.0545;3.2402999999999995;0.0;0.0;0.1438;1.0067;2.1711;3.4931999999999994;0.0
25;240810205001;Santos Reis;caminhada;1.0;2287.0;858.0;1414.0;2.0;11.0;524.6166666666667;2.0;2.0;1.0;145.8166;290.99989999999997;290.99989999999997;290.99989999999997;0.0;0.0;0.0;0.0222;0.2888;0.0;0.0;0.1065;0.15959999999999996;0.2977999999999999;0.43599999999999983;0.0;0.0;0.039;0.06989999999999999;0.14750000000000002;0.3333000000000001;0.0;0.0;0.0685;0.10260000000000001;0.19829999999999998;0.3762000000000001;0.0
26;240810205035;Redinha;bicicleta;1.0;12281.0;3802.0;8367.0;18.0;93.0;392.75357142857143;1.0;1.0;1.0;753.9666;374.10009999999994;221.05;221.05;0.0;0.1998;0.2886;1.2662;2.599300000000001;0.0;0.0;0.4678999999999998;1.7232;4.084700000000001;5.946200000000003;0.0;0.0;0.2954;0.853;2.2789999999999995;3.4652;0.0;0.0;0.3619;1.1982000000000002;2.9245999999999994;4.260499999999999;0.0
27;240810205035;Redinha;caminhada;1.0;12281.0;3802.0;8367.0;18.0;93.0;392.75357142857143;1.0;1.0;1.0;163.15;434.30000000000007;537.45;537.45;0.0;0.0444;0.1998;0.1998;0.1998;0.0;0.0;0.08499999999999999;0.3826999999999999;0.5956999999999999;0.7875000000000001;0.0;0.0;0.062400000000000004;0.2643;0.33390000000000014;0.3647000000000002;0.0;0.0;0.0682;0.3071;0.4441000000000001;0.5676999999999999;0.0
28;240810205032;Salinas;bicicleta;1.0;169.0;65.0;102.0;0.0;0.0;331.76;0.0;0.0;0.0;45.3166;89.4166;45.3166;45.3166;0.0;0.111;0.111;0.111;0.111;0.0;0.0;0.0106;0.053;0.053;0.053;0.0;0.0;0.0467;0.0775;0.0775;0.0775;0.0;0.0;0.0409;0.0685;0.0685;0.0685;0.0
29;240810205032;Salinas;caminhada;1.0;169.0;65.0;102.0;0.0;0.0;331.76;0.0;0.0;0.0;108.4334;241.16670000000002;108.4334;108.4334;0.0;0.0;0.111;0.111;0.111;0.0;0.0;0.0;0.0;0.0212;0.053;0.0;0.0;0.0;0.039;0.0544;0.0775;0.0;0.0;0.0;0.033999999999999996;0.047799999999999995;0.0685;0.0
