,city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
3319,Carnaubais,2402501.0,2020-03-30,14,10759.0,False,False,1,9.29454,2020-03-30,0.0,0,1,city,RN,1,0
3321,Luís Gomes,2407005.0,2020-03-30,14,10116.0,False,False,1,9.88533,2020-03-30,0.0,0,1,city,RN,1,0
3322,Macaíba,2407104.0,2020-03-30,14,80792.0,False,False,1,1.23775,2020-03-30,0.0,0,3,city,RN,0,0
3323,Monte Alegre,2407807.0,2020-03-30,14,22451.0,False,False,1,4.45414,2020-03-30,0.0,0,3,city,RN,0,0
3324,Mossoró,2408003.0,2020-03-30,14,297378.0,False,False,16,5.38036,2020-03-30,0.0625,1,10,city,RN,0,0
3325,Natal,2408102.0,2020-03-30,14,884122.0,False,False,36,4.07184,2020-03-30,0.0,0,19,city,RN,2,0
3326,Parnamirim,2403251.0,2020-03-30,14,261469.0,False,False,10,3.82455,2020-03-30,0.0,0,11,city,RN,1,0
3327,Passa e Fica,2409100.0,2020-03-30,14,13277.0,False,False,1,7.53182,2020-03-30,0.0,0,3,city,RN,0,0
3328,São Gonçalo do Amarante,2412005.0,2020-03-30,14,102400.0,False,False,2,1.95312,2020-03-30,0.0,0,3,city,RN,1,0
3329,São José de Mipibu,2412203.0,2020-03-30,14,43899.0,False,False,1,2.2779599999999998,2020-03-30,0.0,0,3,city,RN,0,0
3330,Tibau,2411056.0,2020-03-30,14,4106.0,False,False,1,24.3546,2020-03-30,0.0,0,3,city,RN,0,0
3742,Apodi,2401008.0,2020-03-31,14,35845.0,False,False,1,2.78979,2020-03-31,0.0,0,2,city,RN,0,0
3743,Açu,2400208.0,2020-03-31,14,58017.0,False,False,1,1.72363,2020-03-31,0.0,0,4,city,RN,0,0
3744,Caicó,2402006.0,2020-03-31,14,67952.0,False,False,1,1.47163,2020-03-31,0.0,0,4,city,RN,-1,0
3745,Carnaubais,2402501.0,2020-03-31,14,10759.0,False,False,1,9.29454,2020-03-31,0.0,0,2,city,RN,0,0
3747,Luís Gomes,2407005.0,2020-03-31,14,10116.0,False,False,1,9.88533,2020-03-31,0.0,0,2,city,RN,0,0
3748,Macaíba,2407104.0,2020-03-31,14,80792.0,False,False,1,1.23775,2020-03-31,0.0,0,4,city,RN,0,0
3749,Monte Alegre,2407807.0,2020-03-31,14,22451.0,False,False,1,4.45414,2020-03-31,0.0,0,4,city,RN,0,0
3750,Mossoró,2408003.0,2020-03-31,14,297378.0,False,False,17,5.71663,2020-03-31,0.0588,1,11,city,RN,1,0
3751,Natal,2408102.0,2020-03-31,14,884122.0,False,False,42,4.7504800000000005,2020-03-31,0.0,0,20,city,RN,6,0
3752,Parnamirim,2403251.0,2020-03-31,14,261469.0,False,False,10,3.82455,2020-03-31,0.0,0,12,city,RN,0,0
3753,Passa e Fica,2409100.0,2020-03-31,14,13277.0,False,False,1,7.53182,2020-03-31,0.0,0,4,city,RN,0,0
3754,São Gonçalo do Amarante,2412005.0,2020-03-31,14,102400.0,False,False,1,0.97656,2020-03-31,0.0,0,4,city,RN,-1,0
3755,São José de Mipibu,2412203.0,2020-03-31,14,43899.0,False,False,1,2.2779599999999998,2020-03-31,0.0,0,4,city,RN,0,0
3756,Tibau,2411056.0,2020-03-31,14,4106.0,False,False,1,24.3546,2020-03-31,0.0,0,4,city,RN,0,0
4221,Apodi,2401008.0,2020-04-01,14,35845.0,False,False,1,2.78979,2020-04-01,0.0,0,3,city,RN,0,0
4222,Açu,2400208.0,2020-04-01,14,58017.0,False,False,1,1.72363,2020-04-01,0.0,0,5,city,RN,0,0
4224,Carnaubais,2402501.0,2020-04-01,14,10759.0,False,False,1,9.29454,2020-04-01,0.0,0,3,city,RN,0,0
4225,Ceará-Mirim,2402600.0,2020-04-01,14,73497.0,False,False,1,1.3606,2020-04-01,0.0,0,1,city,RN,1,0
4227,Luís Gomes,2407005.0,2020-04-01,14,10116.0,False,False,1,9.88533,2020-04-01,0.0,0,3,city,RN,0,0
4228,Macaíba,2407104.0,2020-04-01,14,80792.0,False,False,1,1.23775,2020-04-01,0.0,0,5,city,RN,0,0
4229,Monte Alegre,2407807.0,2020-04-01,14,22451.0,False,False,1,4.45414,2020-04-01,0.0,0,5,city,RN,0,0
4230,Mossoró,2408003.0,2020-04-01,14,297378.0,False,False,20,6.72545,2020-04-01,0.05,1,12,city,RN,3,0
4231,Natal,2408102.0,2020-04-01,14,884122.0,False,False,48,5.42911,2020-04-01,0.0208,1,21,city,RN,6,1
4232,Parnamirim,2403251.0,2020-04-01,14,261469.0,False,False,11,4.207,2020-04-01,0.0,0,13,city,RN,1,0
4233,Passa e Fica,2409100.0,2020-04-01,14,13277.0,False,False,1,7.53182,2020-04-01,0.0,0,5,city,RN,0,0
4234,São Gonçalo do Amarante,2412005.0,2020-04-01,14,102400.0,False,False,1,0.97656,2020-04-01,0.0,0,5,city,RN,0,0
4235,São José de Mipibu,2412203.0,2020-04-01,14,43899.0,False,False,1,2.2779599999999998,2020-04-01,0.0,0,5,city,RN,0,0
4236,Tibau,2411056.0,2020-04-01,14,4106.0,False,False,1,24.3546,2020-04-01,0.0,0,5,city,RN,0,0
4734,Apodi,2401008.0,2020-04-02,14,35845.0,False,False,1,2.78979,2020-04-02,0.0,0,4,city,RN,0,0
4735,Açu,2400208.0,2020-04-02,14,58017.0,False,False,1,1.72363,2020-04-02,0.0,0,6,city,RN,0,0
